Gene	Regulation
LTBP2	up
SKAP1	up
PLAUR	up
SLA2	up
MME	up
CCL8	up
GRAP2	up
VNN1	up
SLCO2B1	up
CD1C	up
MAPK13	up
BCL2A1	up
HPD	up
TFAP2C	up
CXCL3	up
EVA1A	up
PODNL1	up
LBP	up
ITGAD	up
SLC2A5	up
FMN1	up
HIST1H4A	down
SBK1	down
MNX1	down
IGFN1	down
RCOR2	down
CYP27B1	down
DLX2	down
SAPCD2	down
SLC26A10	down
PCDHGC4	down
ADGRA1	down
ST8SIA5	down
SMIM18	down
TRIM71	down
SCX	down
AGAP2	down
COL20A1	down
MYT1	down
GSX1	down
SRMS	down
ZDHHC22	down
CDK4	down
RTP5	down
NKAIN1	down
CSPG5	down
KCNH7	down
TACC3	down
TMPRSS9	down
MARCH9	down
KRTAP5-1	down
SELENOV	down
EMILIN3	down
CBSL	down
SALL3	down
FGFBP3	down
FGFR3	down
CRYGA	down
HES5	down
PRSS48	down
FGF9	down
GPC2	down
ADGRB1	down
LMO1	down
BTBD17	down
SEZ6L	down
HES7	down
EFNA2	down
ASCL1	down
MYCN	down
C16orf92	down
SIX6	down
MAST1	down
CNTNAP5	down
ASIC4	down
AL353588.1	down
ARC	down
DLL1	down
SHISA7	down
FAM57B	down
TERT	down
